PAYER,Process,SHS Status,PIC Desc,Records,Form Letter,ACK,Status,Category,Comment
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,2,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,3,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,2,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,4,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,1,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,3,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,1,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,1,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,2,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,1,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,1,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,1,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,4,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,1,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,1,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,2,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,1,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,1,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,1,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,1,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,1,1,0,Correct,,
UNITED HEALTHCARE,AEHR,E16,Medical Records-Records found but not signed,,,,SHS Error,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,1,1,0,Correct,,
UNITED HEALTHCARE,AEHR,C00,AEHR-MR Saved to MDrive,2,1,0,Correct,,
